행정구역,전체,남자,여자,아동,아동남자,아동여자,청소년,청소년남자,청소년여자,청년,청년남자,청년여자
서울,9424873 ,4567739 ,4857134 ,1125845 ,578262 ,547583 ,1390027 ,688495 ,701532 ,2230250 ,1084784 ,1145466 
부산,3316107 ,1618749 ,1697358 ,416189 ,213644 ,202545 ,473431 ,243220 ,230211 ,622295 ,321282 ,301013 
대구,2362880 ,1162217 ,1200663 ,327943 ,168620 ,159323 ,377513 ,196984 ,180529 ,458786 ,244211 ,214575 
인천,2969502 ,1486300 ,1483202 ,426032 ,218528 ,207504 ,465197 ,239758 ,225439 ,609101 ,317620 ,291481 
광주,1429816 ,706724 ,723092 ,225019 ,115843 ,109176 ,260106 ,134773 ,125333 ,302183 ,157495 ,144688 
대전,1445806 ,721037 ,724769 ,211859 ,109201 ,102658 ,247413 ,127462 ,119951 ,315277 ,165991 ,149286 
울산,1110074 ,570113 ,539961 ,173435 ,89651 ,83784 ,180403 ,96569 ,83834 ,207574 ,116165 ,91409 
세종,384496 ,191769 ,192727 ,87283 ,44226 ,43057 ,72460 ,36901 ,35559 ,69884 ,35085 ,34799 
경기,13596091 ,6842226 ,6753865 ,2099644 ,1074587 ,1025057 ,2244687 ,1156923 ,1087764 ,2801445 ,1473749 ,1327696 
강원,1535373 ,772297 ,763076 ,199498 ,102737 ,96761 ,227189 ,121001 ,106188 ,263049 ,145395 ,117654 
충북,1594459 ,810740 ,783719 ,224841 ,115544 ,109297 ,246328 ,129842 ,116486 ,295110 ,163931 ,131179 
충남,2122913 ,1086686 ,1036227 ,314282 ,161793 ,152489 ,332468 ,175139 ,157329 ,371223 ,204868 ,166355 
전북,1768229 ,879922 ,888307 ,242143 ,124561 ,117582 ,282123 ,148275 ,133848 ,300421 ,161316 ,139105 
전남,1816707 ,914811 ,901896 ,242616 ,124211 ,118405 ,268905 ,142518 ,126387 ,283758 ,156134 ,127624 
경북,2597527 ,1310583 ,1286944 ,339912 ,176143 ,163769 ,368955 ,198517 ,170438 ,410199 ,230504 ,179695 
경남,3277672 ,1650300 ,1627372 ,484964 ,250062 ,234902 ,515984 ,275220 ,240764 ,540108 ,298169 ,241939 
제주,677493 ,339325 ,338168 ,111674 ,57609 ,54065 ,114934 ,60288 ,54646 ,122151 ,64041 ,58110 
